"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.470987852E1,5.162316939E1,6.974421090E0,4.212619278E1,8.685821533E1,0.000000000E0,0.000000000E0,2.153491378E-2,3.790092468E0,2.847208500E0,2.100000000E1
4.571046061E1,5.162316935E1,6.974421150E0,4.211612181E1,8.684814453E1,0.000000000E0,0.000000000E0,2.153795265E-2,3.790092468E0,2.884850025E0,2.000000000E1
4.670958446E1,5.162316937E1,6.974421180E0,4.211111697E1,8.684313965E1,0.000000000E0,0.000000000E0,2.154358265E-2,3.790092468E0,2.877742767E0,2.000000000E1
4.771019858E1,5.162316933E1,6.974421230E0,4.210074083E1,8.683276367E1,0.000000000E0,0.000000000E0,2.155063454E-2,3.790092468E0,2.879265070E0,2.000000000E1
4.870954498E1,5.162316930E1,6.974421320E0,4.209372164E1,8.682574463E1,0.000000000E0,0.000000000E0,2.155830160E-2,3.790092468E0,2.973658562E0,2.100000000E1
4.971113618E1,5.162316927E1,6.974421420E0,4.209396561E1,8.682598877E1,0.000000000E0,0.000000000E0,2.156393508E-2,3.790092468E0,2.841408253E0,2.100000000E1
5.071239118E1,5.162316926E1,6.974421500E0,4.209610175E1,8.682812500E1,0.000000000E0,0.000000000E0,2.156754536E-2,3.790092468E0,2.633427143E0,2.200000000E1
5.171129649E1,5.162316923E1,6.974421520E0,4.210995663E1,8.684197998E1,0.000000000E0,0.000000000E0,2.157580430E-2,3.790092468E0,2.588304043E0,2.200000000E1
5.271263592E1,5.162316916E1,6.974421480E0,4.213565225E1,8.686767578E1,0.000000000E0,0.000000000E0,2.158025210E-2,3.790092468E0,2.716143847E0,2.100000000E1
5.371140993E1,5.162316912E1,6.974421480E0,4.213003690E1,8.686206055E1,0.000000000E0,0.000000000E0,2.158515841E-2,3.790092468E0,2.793551683E0,2.100000000E1
5.471128946E1,5.162316908E1,6.974421510E0,4.213162367E1,8.686364746E1,0.000000000E0,0.000000000E0,2.158646723E-2,3.790092468E0,2.852795601E0,2.100000000E1
5.571104420E1,5.162316909E1,6.974421520E0,4.213272233E1,8.686474609E1,0.000000000E0,0.000000000E0,2.158879581E-2,3.790092468E0,2.928279400E0,2.100000000E1
5.671020508E1,5.162316907E1,6.974421510E0,4.212552013E1,8.685754395E1,0.000000000E0,0.000000000E0,2.159183468E-2,3.790092468E0,2.981346846E0,2.100000000E1
5.771090378E1,5.162316909E1,6.974421480E0,4.212429951E1,8.685632324E1,0.000000000E0,0.000000000E0,2.159961833E-2,3.790092468E0,3.002216339E0,2.100000000E1
5.871277675E1,5.162316916E1,6.974421480E0,4.213455362E1,8.686657715E1,0.000000000E0,0.000000000E0,2.160618599E-2,3.790092468E0,3.051624060E0,2.200000000E1
5.971095065E1,5.162316912E1,6.974421550E0,4.214639427E1,8.687841797E1,0.000000000E0,0.000000000E0,2.160749481E-2,3.790092468E0,3.002906084E0,2.100000000E1
6.070938628E1,5.162316911E1,6.974421540E0,4.216348409E1,8.689550781E1,0.000000000E0,0.000000000E0,2.165035250E-2,3.790092468E0,2.920986176E0,2.100000000E1
6.171469477E1,5.162316876E1,6.974421280E0,4.220144712E1,8.693347168E1,0.000000000E0,0.000000000E0,2.165886714E-2,3.790092468E0,2.988788366E0,2.200000000E1
6.271222550E1,5.162316869E1,6.974421230E0,4.224136394E1,8.697338867E1,0.000000000E0,0.000000000E0,2.169131730E-2,3.790092468E0,2.985515356E0,2.200000000E1
6.371125706E1,5.162316887E1,6.974420860E0,4.232577637E1,8.705780029E1,0.000000000E0,0.000000000E0,2.174520861E-2,3.790092468E0,3.177756548E0,2.200000000E1
6.471051409E1,5.162316922E1,6.974420320E0,4.240841941E1,8.714044189E1,0.000000000E0,0.000000000E0,2.175407240E-2,3.810706377E0,3.314778566E0,2.300000000E1
6.571093643E1,5.162316927E1,6.974420220E0,4.243594649E1,8.716796875E1,0.000000000E0,0.000000000E0,2.178441356E-2,3.879198551E0,3.392512560E0,2.300000000E1
6.671122107E1,5.162316949E1,6.974419960E0,4.248233406E1,8.721435547E1,0.000000000E0,0.000000000E0,2.181740984E-2,3.909397602E0,3.422787189E0,2.300000000E1
6.771137664E1,5.162316967E1,6.974419580E0,4.254214933E1,8.727416992E1,0.000000000E0,0.000000000E0,2.186570506E-2,3.907931328E0,3.417212248E0,2.300000000E1
