"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.614871509E1,5.162428639E1,6.974750250E0,3.342100053E1,7.814996338E1,0.000000000E0,0.000000000E0,4.038077976E-3,1.269927502E1,8.814462662E0,1.000000000E1
4.714907061E1,5.162428696E1,6.974748550E0,3.345640388E1,7.818536377E1,0.000000000E0,0.000000000E0,4.398180825E-3,1.441272926E1,9.898789406E0,1.000000000E1
4.814770076E1,5.162428525E1,6.974752980E0,3.458597314E1,7.931494141E1,0.000000000E0,0.000000000E0,4.433981908E-3,1.415474033E1,9.875478745E0,9.000000000E0
4.914762930E1,5.162428543E1,6.974752550E0,3.407102038E1,7.879998779E1,0.000000000E0,0.000000000E0,4.436743169E-3,1.653350258E1,1.076648617E1,1.100000000E1
5.014998456E1,5.162428543E1,6.974752590E0,3.412619613E1,7.885516357E1,0.000000000E0,0.000000000E0,4.739956827E-3,1.858581734E1,1.134454918E1,1.100000000E1
5.114862561E1,5.162428399E1,6.974756320E0,3.526663097E1,7.999560547E1,0.000000000E0,0.000000000E0,4.747809648E-3,1.796360016E1,1.226488876E1,1.100000000E1
5.214714535E1,5.162428405E1,6.974756380E0,3.537844751E1,8.010742188E1,0.000000000E0,0.000000000E0,4.755476552E-3,1.880994797E1,1.294613361E1,1.100000000E1
5.314876696E1,5.162428402E1,6.974756480E0,3.533956795E1,8.006854248E1,0.000000000E0,0.000000000E0,4.756588501E-3,1.860112572E1,1.315047646E1,1.000000000E1
5.415026862E1,5.162428403E1,6.974756480E0,3.534731945E1,8.007629395E1,0.000000000E0,0.000000000E0,4.760214769E-3,1.844471550E1,1.315367222E1,9.000000000E0
5.514882342E1,5.162428402E1,6.974756430E0,3.536508068E1,8.009405518E1,0.000000000E0,0.000000000E0,4.768269205E-3,1.884621048E1,1.331778049E1,8.000000000E0
5.614807920E1,5.162428395E1,6.974756400E0,3.539364495E1,8.012261963E1,0.000000000E0,0.000000000E0,4.773871643E-3,1.914143562E1,1.356681156E1,8.000000000E0
5.714796998E1,5.162428390E1,6.974756410E0,3.533456277E1,8.006353760E1,0.000000000E0,0.000000000E0,4.779501588E-3,2.008117104E1,1.409379768E1,9.000000000E0
5.814819836E1,5.162428394E1,6.974756460E0,3.536874253E1,8.009771729E1,0.000000000E0,0.000000000E0,4.780882219E-3,2.132074928E1,1.452447319E1,8.000000000E0
5.915068300E1,5.162428394E1,6.974756440E0,3.532473620E1,8.005371094E1,0.000000000E0,0.000000000E0,4.786200409E-3,2.224879646E1,1.473636150E1,9.000000000E0
6.014623920E1,5.162428391E1,6.974756380E0,3.516512922E1,7.989410400E1,0.000000000E0,0.000000000E0,4.789745870E-3,2.271220970E1,1.467567825E1,8.000000000E0
6.114705493E1,5.162428393E1,6.974756420E0,3.522207505E1,7.995104980E1,0.000000000E0,0.000000000E0,5.459303810E-3,2.164735222E1,1.426829529E1,9.000000000E0
6.214855925E1,5.162428959E1,6.974753110E0,3.485722612E1,7.958618164E1,0.000000000E0,0.000000000E0,5.603581396E-3,1.589060402E1,1.397840500E1,1.000000000E1
6.314944649E1,5.162428890E1,6.974754880E0,3.529948350E1,8.002844238E1,0.000000000E0,0.000000000E0,5.608539890E-3,1.669650459E1,1.437552834E1,9.000000000E0
6.414801446E1,5.162428889E1,6.974754950E0,3.526811134E1,7.999707031E1,0.000000000E0,0.000000000E0,5.612828444E-3,1.768813133E1,1.454182339E1,1.100000000E1
6.514692300E1,5.162428888E1,6.974754890E0,3.532499613E1,8.005395508E1,0.000000000E0,0.000000000E0,5.615157019E-3,1.886765480E1,1.493535233E1,1.000000000E1
6.614975180E1,5.162428886E1,6.974754880E0,3.531938084E1,8.004833984E1,0.000000000E0,0.000000000E0,5.622149155E-3,1.936498260E1,1.494476032E1,1.000000000E1
6.715572029E1,5.162428885E1,6.974754980E0,3.529795740E1,8.002691650E1,0.000000000E0,0.000000000E0,5.624766762E-3,2.017442322E1,1.488844585E1,9.000000000E0
6.814754440E1,5.162428883E1,6.974754960E0,3.526103108E1,7.998999023E1,0.000000000E0,0.000000000E0,5.626147392E-3,2.075230980E1,1.496422386E1,8.000000000E0
6.914784680E1,5.162428883E1,6.974754980E0,3.525987140E1,7.998883057E1,0.000000000E0,0.000000000E0,5.626147392E-3,2.087763214E1,1.464683533E1,8.000000000E0
7.015049284E1,5.162428883E1,6.974754980E0,3.526097003E1,7.998992920E1,0.000000000E0,0.000000000E0,5.628908654E-3,2.096579361E1,1.381113052E1,7.000000000E0
7.114806310E1,5.162428883E1,6.974755020E0,3.526042069E1,7.998937988E1,0.000000000E0,0.000000000E0,5.630979600E-3,2.036120987E1,1.290411472E1,8.000000000E0
7.215528398E1,5.162428883E1,6.974755050E0,3.524803053E1,7.997698975E1,0.000000000E0,0.000000000E0,5.637192438E-3,2.032413673E1,1.213593769E1,8.000000000E0
7.314891909E1,5.162428883E1,6.974755140E0,3.524607733E1,7.997503662E1,0.000000000E0,0.000000000E0,5.643503998E-3,2.090480423E1,1.179717064E1,8.000000000E0
7.414858362E1,5.162428884E1,6.974755230E0,3.523533511E1,7.996429443E1,0.000000000E0,0.000000000E0,5.646542837E-3,2.114119339E1,1.139249992E1,9.000000000E0
